id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7127283,Cosy flat - Montmartre/Batignolles,18992468,Aurore,,Batignolles-Monceau,48.88809693813468,2.3247130912508442,Entire home/apt,70,1,0,,,1,0
11559545,Les Batignolles Big Studio!,18417773,Ali,,Batignolles-Monceau,48.89040619553915,2.323423364492932,Entire home/apt,50,1,6,2016-06-16,4.00,1,347
9574066,2 bedroom apartment-Arc de Triomphe,23973954,Géraldine,,Batignolles-Monceau,48.87886382155853,2.291176684578511,Entire home/apt,140,4,0,,,1,0
3719596,2 bedroom appartment,11870292,Luis,,Batignolles-Monceau,48.88144964189218,2.288992779148063,Entire home/apt,90,7,0,,,1,0
8150108,Charmant appartement 2pièces équipé,6182431,Stéphanie,,Batignolles-Monceau,48.89025823891154,2.3179975901629732,Entire home/apt,50,1,0,,,1,365
7608014,Cosy flat in Paris 17 - Batignolles,18638676,Elyssar,,Batignolles-Monceau,48.88717866302433,2.3196289126163783,Entire home/apt,75,1,0,,,1,0
3173261,Ideal home for a couple in Paris !,16060984,Raphaël,,Batignolles-Monceau,48.889717188214654,2.319974119733585,Entire home/apt,69,3,6,2015-12-26,0.24,1,0
4614053,Appart Cosy situé aux Batignolles ,23903887,Audrey,,Batignolles-Monceau,48.89277512711461,2.316840540774204,Entire home/apt,100,1,0,,,1,0
13768465,Charming apartment close to Montmartre,37660649,Baptiste,,Batignolles-Monceau,48.88974120137508,2.3250089285464197,Entire home/apt,60,1,0,,,1,11
416091,Your studio (Moulin Rouge-Opera),1830746,Emilie,,Batignolles-Monceau,48.88381665051128,2.313137818706537,Entire home/apt,40,3,4,2016-06-11,0.09,1,42
5557177,Parisian Apartment,7632429,Ambroise,,Batignolles-Monceau,48.87754751792462,2.2917051108178565,Entire home/apt,90,1,0,,,1,238
9705450,"Bel appartement, Villiers-Monceau",50113691,Agnès,,Batignolles-Monceau,48.88176949814431,2.3150280791393523,Entire home/apt,45,2,0,,,1,362
968121,***Studio sur jardín *ETOILE*TERNES,5282963,Laurence,,Batignolles-Monceau,48.880514984640826,2.291360861199973,Entire home/apt,85,4,6,2015-09-21,0.18,1,302
3326557,appartement de charme tout confort,15699771,Dominique,,Batignolles-Monceau,48.882667121042935,2.318472824277478,Entire home/apt,111,7,2,2015-10-24,0.14,1,349
7258724,1 bedroom apt on Boulevard Pereire,38002829,,,Batignolles-Monceau,48.880405004509164,2.2897021579798826,Entire home/apt,99,1,0,,,1,365
13289273,Nice flat with 2 rooms in the heart of Paris,29682195,Julia,,Batignolles-Monceau,48.88228165399037,2.317044505357441,Entire home/apt,80,1,0,,,1,0
180948,"Lovely home, Batignolles-Montmartre",863835,Paul,,Batignolles-Monceau,48.89037299584906,2.3181122855470853,Entire home/apt,40,1,6,2015-12-23,0.83,1,0
6342971,Grand appartement de standing 180m2,33033793,Michael,,Batignolles-Monceau,48.88722358283726,2.3079681297232493,Entire home/apt,376,2,0,,,1,62
11163532,Studio 19m2 proche Batignolles,58066660,Mathieu,,Batignolles-Monceau,48.88845662030718,2.3138736883650806,Entire home/apt,40,1,3,2016-06-16,0.91,1,359
5950088,Nice 2-rooms flat in Batignolles,13806601,Guillaume,,Batignolles-Monceau,48.88572998176944,2.313643287653067,Entire home/apt,50,2,0,,,1,0
676347,Lovely flat under the roof !,3437403,Vincent,,Batignolles-Monceau,48.89080683473699,2.325267606636138,Entire home/apt,45,2,16,2013-11-23,0.35,1,0
3891859,"Paris center, charming private room",3292044,Séverine,,Batignolles-Monceau,48.882653449116795,2.316938169783879,Private room,45,2,39,2016-06-21,1.90,2,333
9719343,Appartement rue de Levis,8018381,Anais,,Batignolles-Monceau,48.88409540354116,2.3151388517621094,Entire home/apt,70,1,0,,,1,28
7618606,Paris,37605441,Beomsik,,Batignolles-Monceau,48.89527551614022,2.3167282826573268,Private room,20,1,0,,,1,0
6999087,Sous loc pr 1 mois 2pièces 75017,36695174,Maxime,,Batignolles-Monceau,48.885703297445666,2.3153572319622895,Entire home/apt,40,4,0,,,1,0
8441060,QUARTIER CHAMPS ELYSEES,44442225,Eric,,Batignolles-Monceau,48.882588650611304,2.30261607122161,Entire home/apt,90,2,4,2015-12-21,0.43,1,259
6606225,Studio,31379979,Stephane,,Batignolles-Monceau,48.88895016912067,2.3259366505176344,Entire home/apt,30,3,14,2016-06-14,1.10,1,2
3067505,Charmant 2 pièces ,15577141,Guillemette,,Batignolles-Monceau,48.88635895304883,2.31250755242076,Entire home/apt,70,1,2,2014-08-31,0.08,1,0
7223190,Studio with amazing view,37813605,Do,,Batignolles-Monceau,48.8803570051097,2.301601867005612,Entire home/apt,50,1,0,,,1,0
10670135,Le repaire de Paris,54973416,Pierre,,Batignolles-Monceau,48.88428584696239,2.3256380181992933,Entire home/apt,65,1,20,2016-06-25,7.32,1,364
3420233,Cosy Parisian Flat ,5223109,Sacha Et Romain,,Batignolles-Monceau,48.88707280224794,2.298867054148427,Entire home/apt,100,3,0,,,1,365
7608857,Rue des Dames,17870669,Arnaud,,Batignolles-Monceau,48.885510917627556,2.3245946952097065,Entire home/apt,90,2,0,,,1,365
12983120,Appartement Paris 17,39183521,Arthur,,Batignolles-Monceau,48.898297664507666,2.328290513856322,Entire home/apt,50,1,0,,,1,354
13372709,"Lovely flat, perfect for a couple !",10708945,Arthur,,Batignolles-Monceau,48.88735419123056,2.323344613363482,Entire home/apt,60,1,3,2016-07-01,3,1,0
7567708,Grand studio quartier Courcelles,39678052,Gaetan,,Batignolles-Monceau,48.88174131274213,2.301324455877633,Entire home/apt,76,1,0,,,1,0
401211,2 bedrooms close to rue de LEVIS,1651752,Myriam,,Batignolles-Monceau,48.885394769145414,2.3136992606036166,Entire home/apt,200,5,1,2014-04-14,0.04,17,276
10279526,Studio design sur jardin privé,4203828,Catherine,,Batignolles-Monceau,48.88556903900389,2.3218521469213456,Entire home/apt,111,3,0,,,1,364
7658400,Cosy&Cheap studio à Paris,37826045,Hanane,,Batignolles-Monceau,48.8930489394529,2.3173733081911734,Entire home/apt,30,1,1,2015-08-31,0.10,1,0
2105561,Suite Grande Armée - Champs Elysées,2979596,Pascal,,Batignolles-Monceau,48.87756252724931,2.291523816511154,Entire home/apt,120,7,0,,,13,336
3321910,"Modern, luminous apt in 17th ",1353881,Aurélie,,Batignolles-Monceau,48.885507769466905,2.3150121585643917,Entire home/apt,120,2,5,2015-01-02,0.21,1,365
